aticle_id,company,alog_output,,,,,,,
1713,infosys,-1,,,,,,,
1714,infosys,-1,,,,,,,
1715,infosys,1,,,,,,,
1716,infosys,1,,,,,,,
1717,infosys,-1,,,,,,,
1718,infosys,0,,,,,,,
1719,infosys,-1,,,,,,,
1720,infosys,-1,,,,,,,
1721,infosys,-1,,,,,,,
1722,infosys,-1,,,,,,,
1723,infosys,1,,,,,,,
1724,infosys,-1,,,,,,,
1725,infosys,1,,,,,,,
1726,infosys,1,,,,,,,
1727,infosys,-1,,,,,,,
1728,infosys,-1,,,,,,,
1729,infosys,0,,,,,,,
1730,infosys,-1,,,,,,,
1731,infosys,-1,,,,,,,
1732,infosys,-1,,,,,,,
1733,infosys,0,,,,,,,
1734,infosys,-1,,,,,,,
1735,infosys,-1,,,,,,,
1736,infosys,-1,,,,,,,
1737,infosys,-1,,,,,,,
1738,infosys,-1,,,,,,,
1739,infosys,-1,,,,,,,
1740,infosys,1,,,,,,,
1741,infosys,-1,,,,,,,
1742,infosys,-1,,,,,,,
1801,axisbank,1,,,,,,,
1802,axisbank,0,,,,,,,
1803,axisbank,-1,,,,,,,
1804,axisbank,-1,,,,,,,
1805,axisbank,1,,,,,,,
1806,axisbank,0,,,,,,,
1807,axisbank,-1,,,,,,,
1808,axisbank,1,,,,,,,
1809,axisbank,-1,,,,,,,
1810,axisbank,1,,,,,,,
1811,axisbank,1,,,,,,,
1812,axisbank,-1,,,,,,,
1813,axisbank,1,,,,,,,
1814,axisbank,-1,,,,,,,
1815,axisbank,-1,,,,,,,
1816,axisbank,1,,,,,,,
1817,axisbank,-1,,,,,,,
1818,axisbank,-1,,,,,,,
1819,axisbank,0,,,,,,,
1820,axisbank,1,,,,,,,
1821,axisbank,-1,,,,,,,
1822,axisbank,-1,,,,,,,
1823,axisbank,1,,,,,,,
1824,axisbank,-1,,,,,,,
1825,axisbank,-1,,,,,,,
1826,axisbank,-1,,,,,,,
1827,axisbank,0,,,,,,,
1828,axisbank,-1,,,,,,,
1829,axisbank,-1,,,,,,,
1830,axisbank,0,,,,,,,
1831,axisbank,1,,,,,,,
1832,axisbank,-1,,,,,,,
1833,axisbank,1,,,,,,,
1834,axisbank,0,,,,,,,
1835,axisbank,-1,,,,,,,
1836,axisbank,1,,,,,,,
1837,axisbank,-1,,,,,,,
1838,axisbank,-1,,,,,,,
1839,axisbank,-1,,,,,,,
1840,axisbank,-1,,,,,,,
1841,axisbank,1,,,,,,,
1842,axisbank,-1,,,,,,,
1843,axisbank,1,,,,,,,
1844,axisbank,1,,,,,,,
1845,axisbank,-1,,,,,,,
1901,bhartiairtel,1,,,,,,,
1902,bhartiairtel,1,,,,,,,
1903,bhartiairtel,1,,,,,,,
1904,bhartiairtel,1,,,,,,,
1905,bhartiairtel,1,,,,,,,
1906,bhartiairtel,1,,,,,,,
1907,bhartiairtel,0,,,,,,,
1908,bhartiairtel,1,,,,,,,
1909,bhartiairtel,1,,,,,,,
1910,bhartiairtel,1,,,,,,,
1911,bhartiairtel,-1,,,,,,,
1912,bhartiairtel,1,,,,,,,
1913,bhartiairtel,-1,,,,,,,
1914,bhartiairtel,-1,,,,,,,
1915,bhartiairtel,1,,,,,,,
1916,bhartiairtel,1,,,,,,,
1917,bhartiairtel,1,,,,,,,
1918,bhartiairtel,1,,,,,,,
1919,bhartiairtel,1,,,,,,,
1920,bhartiairtel,1,,,,,,,
1921,bhartiairtel,0,,,,,,,
1922,bhartiairtel,0,,,,,,,
1923,bhartiairtel,-1,,,,,,,
1924,bhartiairtel,1,,,,,,,
1925,bhartiairtel,1,,,,,,,
1926,bhartiairtel,1,,,,,,,
1927,bhartiairtel,1,,,,,,,
1928,bhartiairtel,-1,,,,,,,
1929,bhartiairtel,-1,,,,,,,
1930,bhartiairtel,-1,,,,,,,
1931,bhartiairtel,1,,,,,,,
1932,bhartiairtel,-1,,,,,,,
1933,bhartiairtel,1,,,,,,,
1934,bhartiairtel,0,,,,,,,
1935,bhartiairtel,1,,,,,,,
1936,bhartiairtel,1,,,,,,,
1937,bhartiairtel,0,,,,,,,
2001,ongc,-1,,,,,,,
2002,ongc,1,,,,,,,
2003,ongc,-1,,,,,,,
2004,ongc,1,,,,,,,
2005,ongc,1,,,,,,,
2006,ongc,1,,,,,,,
2007,ongc,1,,,,,,,
2008,ongc,-1,,,,,,,
2009,ongc,-1,,,,,,,
2010,ongc,0,,,,,,,
2011,ongc,-1,,,,,,,
2012,ongc,-1,,,,,,,
2013,ongc,1,,,,,,,
2014,ongc,-1,,,,,,,
2015,ongc,0,,,,,,,
2016,ongc,-1,,,,,,,
2017,ongc,1,,,,,,,
2018,ongc,1,,,,,,,
2019,ongc,-1,,,,,,,
2020,ongc,1,,,,,,,
2021,ongc,1,,,,,,,
2022,ongc,-1,,,,,,,
,,,,,,,,,
,,Correct,,Total,,,(in %),Correct,Wrong
Positive,,128,,215,,,Positive,59.53488372,40.46511628
%,,59.53488372,,,,,,,
Negative,,96,,161,,,Negative,59.62732919,40.37267081
%,,59.62732919,,,,,,,
Average,,2,,38,,,Average,5.263157895,94.73684211
%,,5.263157895,,,,,,,
